Mã sản phẩm,Tên sản phẩm,Thương hiệu,Danh mục,Giá lẻ (VND),Số lượng/thùng,Giá thùng (VND),Mô tả,Hình ảnh,Ngày tạo,Ngày cập nhật
"prestone_prestone_xanh_28472278","Prestone Xanh","Prestone","Nước mát",300000,6,1800000,"","https://i.ibb.co/9mWm2yNh/prestone-prestone-xanh-28472278-detail.jpg","08:27:52 24/6/2025","20:45:23 30/9/2025"
"selleys_rp7_150g","RP7 150g","Selleys","Xịt bảo dưỡng",60000,12,700000,"","https://i.ibb.co/k6MyFbrx/selleys-rp7-150g-detail.jpg","19:18:04 20/6/2025","20:45:23 30/9/2025"
"selleys_rp7_300g","RP7 300g","Selleys","Xịt bảo dưỡng",80000,12,920000,"","https://i.ibb.co/vt5Zfkw/selleys-rp7-300g-detail.jpg","19:18:04 20/6/2025","20:45:23 30/9/2025"
"selleys_rp7_350g","RP7 350g","Selleys","Xịt bảo dưỡng",85000,12,960000,"","https://i.ibb.co/0jhKcj21/selleys-rp7-350g-detail.jpg","19:18:04 20/6/2025","20:45:23 30/9/2025"
"selleys_selleys_keo_gio_ng","Selleys Keo gioăng","Selleys","Keo",40000,12,480000,"","https://i.ibb.co/JjQjtf3C/selleys-selleys-keo-gio-ng-detail.jpg","19:18:04 20/6/2025","20:45:23 30/9/2025"
"threebond_keo_chong_e_threebond_29078140","Keo chống đề Threebond","Threebond","Keo",100000,12,1200000,"","https://i.ibb.co/WvjgXKt5/threebond-keo-chong-e-threebond-29078140-retry-detail.jpg","08:37:58 24/6/2025","20:45:23 30/9/2025"
"threebond_threebond_keo_en_29138770","Threebond Keo Đen","Threebond","Keo",55000,24,1280000,"","https://i.ibb.co/H5NPkLh/threebond-threebond-keo-en-29138770-retry-detail.jpg","08:38:58 24/6/2025","20:45:23 30/9/2025"
"threebond_threebond_keo_ghi","Threebond Keo ghi","Threebond","Keo",55000,12,640000,"","https://i.ibb.co/fwqc8b9/threebond-threebond-keo-ghi-detail.jpg","19:18:02 20/6/2025","20:45:23 30/9/2025"
"threebond_threebond_keo_o_29105335","Threebond Keo Đỏ","Threebond","Keo",55000,12,640000,"","https://i.ibb.co/7xb9DGn6/threebond-threebond-keo-o-29105335-detail.jpg","08:38:25 24/6/2025","20:45:23 30/9/2025"
"threebond_threebond_mem_nhua_pando_29216589","Threebond Mềm Nhựa Pando","Threebond","Xịt bảo dưỡng",180000,1,180000,"","https://i.ibb.co/YF20LGR8/threebond-threebond-mem-nhua-pando-29216589-detail.jpg","08:40:16 24/6/2025","20:45:23 30/9/2025"
